condition_id,question,yes_token_id,volume,created_at,resolved_at,outcome_resolved,price_count,final_price,volatility_24h,resolution_jump,description
0xd28eff5dc23bc2520042f8722add1afc39cdc9ea00650262e75a5d3bafeed06b,Will Robert F. Kennedy Jr. win the 2024 Democratic Presidential Nomination?,45953708040415323851345959272230471403549163136709199942561817848627731960909,28528853.89392,2024-01-08T22:29:46.579Z,2024-08-19T00:00:00Z,,13.0,0.0005,0.0,,
0x9e9071636d176562592a98dfede865385ba0cff7864cfa01f0479ca6e9e26e1b,Will Kamala Harris win the 2024 Democratic Presidential Nomination?,61307174745343826105381155328818841321097085669107501488931143161146416325701,54563172.651864,2024-01-08T22:29:46.585Z,2024-08-19T00:00:00Z,,9.0,0.9985,0.005022479387194,,
0xea236b37f6ba053c48240dafea9b4b745ce43aebd44d8911df35302d1ac951a3,Will Hillary Clinton win the 2024 Democratic Presidential Nomination?,101015352831936309774021600064885251763304202685599258456244867148938388560483,35289981.75504,2024-01-08T22:29:46.588Z,2024-08-19T00:00:00Z,,14.0,0.0005,0.2401922307076306,,
0x2d606a51f902a4d934a4b810dd77cb28bb8e40268f42354057b5a47f9799efad,Will Michelle Obama win the 2024 Democratic Presidential Nomination?,114906809173953523276355880925100389606649541176600550608761173629971358774558,47510450.440678,2024-01-08T22:29:46.589Z,2024-08-19T00:00:00Z,,9.0,0.0005,0.4845601328439481,,
0x475e0fd32b211c0cfe6755638efceba2373d01a7224c7750f77f978db104f639,2024 presidential election: GOP wins by 105-154,91932832596060744099888677327122616645772550393074504705362648525145533535677,6473740.733323,2024-01-08T23:05:47.007Z,2024-11-04T12:00:00Z,,12.0,0.0695,0.0232821372931009,,
0x14a087f7b1b23b9a3c32799255edf18832d548302d6657efdba816a458a18d4f,2024 presidential election: Democrats win by 155-214,49053375994742571860652088315085884720283262308934567514143770147957981207450,5393718.822278,2024-01-08T23:06:34.421Z,2024-11-04T12:00:00Z,,12.0,0.037,0.0296372335933108,,
0xcd1b6b71a1964f15e2c14809594cbfa0d576270e8ef94c8c24913121097e09e5,Will Donald Trump win the popular vote in the 2024 Presidential Election?,42699080635179861375280720242213672850141860123562672932351602811041149946128,119932620.818624,2024-01-09T18:05:18.484Z,2024-11-05T12:00:00Z,,17.0,0.2735,0.038718643641371,,
0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,Kamala Harris wins the popular vote?,21271000291843361249209065706097167029083067325856089903026951915683588703117,163779786.645492,2024-01-09T18:29:49.185Z,2024-11-05T12:00:00Z,,17.0,0.728,0.0155108297828117,,
0x31c07a75f26c614c1dceeeed1987e1a6e1993eaac31cb64ee551779b982877f8,Will Israel invade Lebanon by January 20?,90270776269381166734049217225029501902080348388785559377507508772215080472905,61818.628205,2024-01-09T20:27:53.979Z,2024-01-20T00:00:00Z,,242.0,0.014,0.0792181604972757,,
0xab5a824fa074725200fac54ead9ffa9c5db46ded28e430e41960bf53e32c95a2,"$BTC price <$40,000 1 hour after ETF approval?",28262017238912106802357250688889987992706093232254381150145828632142084764689,24026.124249,2024-01-09T22:09:43.907Z,2024-01-14T00:00:00Z,,27.0,0.0005,0.311243278159986,,
0xfa0203e445285919305e4e37ddf6cb95288298f23e37b3391133983df800d01f,"$BTC price between $42,500-45,000 1 hour after ETF approval?",74877517816716607704547550775104002406689041460561670464413989711589305979179,14359.479142,2024-01-09T22:09:44Z,2024-01-14T00:00:00Z,,36.0,0.0005,0.3338762410255221,,
0x0d20dd1de97ba9f5d3199f7499481b67616798aa25a090494060796b1fff0227,"$BTC price between $40,000-42,500 1 hour after ETF approval?",10246549913932091413914204681054965854277852489149470439595454797139035107385,9341.505928,2024-01-09T22:09:44.006Z,2024-01-14T00:00:00Z,,28.0,0.0005,0.272431146245894,,
0x9427fd6894b4118730c1ea05cc8e4b9b7c494109649eb6fdeb5f1eef17ad96b6,"$BTC price between $47,500-50,000 1 hour after ETF approval?",32644838550205121085817389208417449829680012484128905272385580870811785090544,13271.114509,2024-01-09T22:09:44.008Z,2024-01-15T00:00:00Z,,35.0,0.0005,0.5742748687271777,,
0xd9f8baede3f0a2ca3778fcf30db3ff718f7da1062bce416a3616d5325420501a,"$BTC price >$50,000 1 hour after ETF approval?",76413529597762073338279272847422360395007311469896773632125218815344087594975,23722.120464,2024-01-09T22:09:44.009Z,2024-01-15T00:00:00Z,,28.0,0.01,4.054909720030818,,
0x4c430f7a539d4af93ef7a0c16fc2f537de23b20fb7d697e428e0e4626a85fead,"$BTC price between $45,000-47,500 1 hour after ETF approval?",82878016478182062256721598607187455661077920887199486153439108543011754624710,12755.713825,2024-01-09T22:09:44.02Z,2024-01-14T00:00:00Z,,34.0,0.9995,0.2020379605472047,,
0x8204779ca8584f1349ddaaed68b63b8509fb3d1deab321180288e48b2961232a,Bitcoin ETF doesn't get approval by Jan 15?,103947399955870830770036861867677549777439910934176015860999934981321075217264,27613.166095,2024-01-09T23:14:45.147Z,2024-01-15T00:00:00Z,,36.0,0.0005,1.798160141702953,,
0xb240cd63bae02e0b593cbe69844a64e46549d8af655498ea860ea7c514412113,Was @SECGov really hacked?,87226944957845844213558978518999124163067594848114444795181070041723786786731,258357.312431,2024-01-09T23:32:25.991Z,2024-01-12T00:00:00Z,,47.0,0.9925,0.0004618203810758,,
0x80d5e8a516e60083f1d8abbae83a2b690e7dbb9c1c1c894627738cedb6cb402e,Trump margin of victory in Iowa Caucus <20%,18498603385083468852226405234006771735151910657593805408143479922916922535277,58933.875558,2024-01-10T18:20:33.887Z,2024-01-15T00:00:00Z,,77.0,0.055,0.0519607590055942,,
0x88b97883f512e1ba03597b7f2ea82b9a52ed7e745547bce89c49f754ad22c9a1,Will Trump lose the 2024 Iowa Caucus?,87336483034709735454481572550279705246983976212685962355517167042768980849708,19806.269334,2024-01-10T18:20:33.918Z,2024-01-15T00:00:00Z,,77.0,0.0155,0.0601384564631861,,
0x4dd13b533072528934eefd9aa816fcc97253e7cd1d4f40c12769fd7f52c3e0fa,Trump margin of victory in Iowa Caucus 20-25%,9921302158902229721472945626779827988857877615552329683246669852181218855314,55430.978938,2024-01-10T18:20:33.918Z,2024-01-15T00:00:00Z,,77.0,0.135,0.0980275369059621,,
0xe5d5792995784f034f1c5a73e1885127ac7242186c23ad7883ca630a312615a7,Trump margin of victory in Iowa Caucus 25-30%,96997218079185941998356144696783864822590439522040509953491014386238407189921,58545.832415,2024-01-10T18:20:33.922Z,2024-01-15T00:00:00Z,,77.0,0.26,0.0893607976271019,,
0x3f860955f69ee121da47c2840509ada04b6776b95a1219335efa5dcffbac0815,Trump margin of victory in Iowa Caucus 30-35%,49602774028988829257360913863105865810189747816563725658625087775916891704633,74964.85853499999,2024-01-10T18:20:33.926Z,2024-01-15T00:00:00Z,,77.0,0.275,0.3772227057051803,,
0xd8f72016370aba96d815f86f27d242e30115589ca69a1cb8c9f19148234cbe7a,Trump margin of victory in Iowa Caucus 35-40%,77062198638238970866032449275114605400043638019162550281808060377205348323027,84533.105041,2024-01-10T18:20:33.931Z,2024-01-15T00:00:00Z,,77.0,0.22,0.2915188869364327,,
0xa8f7ccc1a0299583b1bd8b8fa5a559964a1b9ab1a3ff75b60bcc69c722e3111c,Trump margin of victory in Iowa Caucus >40%,81681999501807157439319856427554056905494598029267051705504100302004597755295,84429.919685,2024-01-10T18:20:33.931Z,2024-01-15T00:00:00Z,,76.0,0.1,0.1037869385201673,,
0x55f069932dd8b7553b98e6285a81594edf33f2699756280cf7ddeac90eab79ec,Will there be a US government shutdown by Jan 20?,916652542787015485687061399240227024282948971589640746479868246882796456492,124889.425784,2024-01-10T19:06:27.076Z,2024-01-20T00:00:00Z,,215.0,0.0005,0.6724287918637412,,
0x64669793efb09a7320e5bf0d28ada846e8d378563a6eb0cec9812177fe215f43,Will Musk tweet less than 160 times between Jan 10-16?,52161055987385456459452919426156131848577101404058559581631362251013995680002,5280.299486,2024-01-10T20:19:22.09Z,2024-01-16T00:00:00Z,,121.0,0.01,0.0097201973919967,,
0x76b470cb9a2edd52924f3268396c0d851db526c343e9f701331743f81cb0d163,Will Musk tweet between 160-225 times between Jan 10-16?,15033203810519672702963666257863397623443243785169988617748395760597265391030,5026.853066,2024-01-10T20:19:22.165Z,2024-01-16T00:00:00Z,,121.0,0.25,0.1011210384739005,,
0xd6b2889953ade7241e93fef57dedf4db7b20aa543c86efa2a48cb2f696b88b6c,Will they find another Jewish tunnel in NYC by Monday?,94242042401405349800999787747172102050699742770697566404287159067735404484559,8795.432162,2024-01-10T21:45:35.836Z,2024-01-15T00:00:00Z,,97.0,0.0155,0.0569648777391436,,
0xf1c1fcc3efe839e5a022574c0263cb967ee3355f6b58edbca596958a8919343a,BTC ETFs first week combined AUM under $10 billion?,23227039880009735168368797727475823955309076994648267727149759621050923422732,604171.528768,2024-01-10T22:21:10.799Z,2024-01-19T00:00:00Z,,190.0,0.0025,0.1360827634879543,,
0x7e799a35d58bbfe4f8e70b9ee908fb9f53f863f6cc93b1cc006e35221aa8647d,BTC ETFs first week combined AUM between $10-30 billion?,84153216509123083671386678487731165844661106322769413177186644066806577869159,149306.39333700002,2024-01-10T22:21:10.851Z,2024-01-19T00:00:00Z,,190.0,0.989,0.0119213338413553,,
0xca92ec28e43948c3b41a87ea94c74aea851924e085ff624df9fb03d83e668109,BTC ETFs first week combined AUM between $30-60 billion?,68057162773232784709584478198282738592674472035174198379158954794818472764653,109277.682058,2024-01-10T22:21:10.856Z,2024-01-19T00:00:00Z,,190.0,0.021,0.2517219401954758,,
0x9fe78759b4412e42a81e2ada75a35360d14938eb84600eb7dbd7e6f14ddbb19f,BTC ETFs first week combined AUM over $60 billion?,91746004869662235666334796486262981828588651729447977756656169138950191488450,154511.208714,2024-01-10T22:21:10.856Z,2024-01-19T00:00:00Z,,190.0,0.0005,0.0,,
0xa537b4d87e937d7de93ba20cc89d6a67d00e89fddf2f02d3f0271e002a6d97b7,Continued US strikes against Houthis?,79384055169920582893516755487000838299392143307973193001908573552581963488711,21550.297593000003,2024-01-12T00:29:52.977Z,2024-01-14T00:00:00Z,,28.0,0.9995,0.8095817724150108,,
0x4372614786010b9b7fb52cffa0bdc1359ea81c7cbc75c5bbc619c68326692b37,Will Donald Trump Jr. win the 2024 Republican Presidential Nomination?,36731942161865303236107356691989303498849585292019431526430922204976385577778,827477.863334,2024-01-12T19:05:36.769Z,2024-07-13T00:00:00Z,,52.0,0.0005,0.0,,
0x59d7ec34e4f9ef67350a97363baeaee60bd7979091cc166420b08a17e38aa43f,Will someone else win the 2024 Republican Presidential Nomination?,34197655511179582524440886169284213937491355265852412707455951709268822723994,771652.863812,2024-01-12T19:15:13.828Z,2024-07-13T00:00:00Z,,52.0,0.0025,0.095061732840866,,
0xe91b26e02e0a35d164b243a1b1a70d5886441084e9da1f3f664f052730030cbb,Finnish Presidential Election: Will Alexander Stubb win?,62471964247263026853388777058136273249949767110527376445244748878335672643018,229590.359179,2024-01-12T21:22:28.466Z,2024-01-25T00:00:00Z,,191.0,0.845,0.0038824120941577,,
0x15a4bdba97f192528be64824720a0c7c70b5e6889e039b5ed11e399c89ecbfe8,Finnish Presidential Election: Will Pekka Haavisto win?,101925685470120479562062772358573024242588124565238530106669234637628108688549,221233.399295,2024-01-12T21:22:28.5Z,2024-01-26T00:00:00Z,,215.0,0.105,0.033486047782837,,
0xa2279b962c1fa4616bf04f0d54a9a1f3b1697db528c4d2a939ca15ece667f075,Finnish Presidential Election: Will Olli Rehn win?,97949868482331892937872138123082774889228648629480982700798780919682297501850,24894.852833,2024-01-12T21:24:28.98Z,2024-01-26T00:00:00Z,,215.0,0.0105,0.0490279743117195,,
0x420fcc123beef1d4cba887bd68a0c430b910683915daea32ecec0f8bd65fe2f1,Finnish Presidential Election: Will Jussi Halla-aho win?,9611440891855216962573376732864510973450533939789064172247923332353980803083,103857.344203,2024-01-12T21:24:29.071Z,2024-01-26T00:00:00Z,,215.0,0.03,0.0392847902445151,,
0x00b2eb5d405afe24310fcd3470b145d4cadb2a6b18e4a988f487f68a7d4ecbf5,Finnish Presidential Election: Will Jutta Urpilainen win?,69865276162777894638910128059164515207030304333203272300053280441889001808733,10646.22,2024-01-12T21:24:29.094Z,2024-01-26T00:00:00Z,,215.0,0.0005,0.17860862707794,,
0x830fe8eb8ab09693af821fba6d1d2c5369a696715c029b978e06df41cc614390,Trump margin of victory in New Hampshire Primary >15%,79044640158034091299262760108813957417246768673122071583111344168798410046359,997617.257422,2024-01-16T16:45:02.413Z,2024-01-22T00:00:00Z,,125.0,0.62,0.0535242211074722,,
